,categories,cuisine
5318,"Diners, Restaurants, Seafood Markets, Food, Specialty Food",American Cuisine
5319,"Mexican, Food, Street Vendors, Food Stands, Restaurants",South American Cuisine
5320,"Middle Eastern, Mediterranean, Restaurants, Pizza, Italian",Middle Eastern / African Cuisine
5321,"Food, Local Flavor, Street Vendors, Restaurants, Burgers",American Cuisine
5322,"Specialty Food, Comfort Food, Desserts, Meat Shops, Food, Restaurants, Soul Food, Southern",American Cuisine
5323,"Restaurants, Vietnamese, Sandwiches, Local Flavor, Food Stands",Asian Cuisine
5324,"Restaurants, Halal, Food, Food Trucks",Middle Eastern / African Cuisine
5325,"Gluten-Free, Mediterranean, Salad, Middle Eastern, Restaurants, Cafes, Vegan",Middle Eastern / African Cuisine
5326,"Sandwiches, Food, Restaurants, Bakeries",Unknown
5327,"Delis, Sandwiches, Restaurants, Mediterranean",Unknown
5328,"Burgers, Cafes, Restaurants, Mexican, American (Traditional)",South American Cuisine
5329,"Restaurants, Cheesesteaks, Sandwiches, Steakhouses, Local Flavor",American Cuisine
5330,"Sandwiches, Coffee & Tea, Salad, Pizza, Desserts, American (New), Restaurants, Food",European Cuisine
5331,"Active Life, Beer Gardens, Grocery, Middle Eastern, Specialty Food, American (New), Parks, Cafes, Food, Nightlife, Restaurants, Coffee & Tea, Lebanese",Middle Eastern / African Cuisine
5332,"Pizza, Chicken Wings, Salad, Sandwiches, Restaurants, Cheesesteaks",European Cuisine
5333,"Chicken Wings, Soul Food, Restaurants",Unknown
5334,"Delis, Restaurants, Coffee & Tea, Food, Breakfast & Brunch, Bagels, Sandwiches",American Cuisine
5335,"Food, Specialty Food, Seafood, Seafood Markets, Restaurants",Unknown
5336,"Sandwiches, Burgers, Restaurants, Fast Food",American Cuisine
5337,"Restaurants, Chicken Wings, American (Traditional), Sandwiches",American Cuisine
5338,"Buffets, Pakistani, Restaurants, Indian, Vegan, Vegetarian",Asian Cuisine
5339,"Restaurants, Food, Fast Food, Burgers, Ice Cream & Frozen Yogurt",American Cuisine
5340,"Southern, American (New), Breakfast & Brunch, Restaurants",American Cuisine
5341,"Buffets, Restaurants, American (Traditional)",American Cuisine
5342,"Restaurants, American (New), Burgers, Steakhouses, American (Traditional), Diners, Breakfast & Brunch, Fast Food",American Cuisine
5343,"Breakfast & Brunch, Restaurants, Dominican, Caribbean, Food, Coffee & Tea",South American Cuisine
5344,"Restaurants, Salvadoran, Mexican, Latin American",South American Cuisine
5345,"Restaurants, Pizza, Coffee & Tea, Italian, Food",European Cuisine
5346,"Caribbean, Restaurants, Salad",South American Cuisine
5347,"American (New), Seafood, Asian Fusion, Gluten-Free, Vegetarian, Restaurants",Asian Cuisine
5348,"American (Traditional), Local Flavor, French, Restaurants",European Cuisine
5349,"Fast Food, Ice Cream & Frozen Yogurt, Burgers, Restaurants, Desserts, Food",American Cuisine
5350,"Restaurants, American (Traditional), Comfort Food, Cafes, American (New)",American Cuisine
5351,"Cantonese, Chinese, Restaurants",Asian Cuisine
5352,"Comfort Food, Sandwiches, Restaurants",Unknown
5353,"Restaurants, Seafood, Breakfast & Brunch, Mexican",South American Cuisine
5354,"Food, Breakfast & Brunch, American (New), Bakeries, Restaurants, Coffee & Tea",American Cuisine
5355,"Sandwiches, Comfort Food, Restaurants, Salad",Unknown
5356,"Restaurants, American (Traditional), Diners",American Cuisine
5357,"American (Traditional), Breakfast & Brunch, Restaurants, Burgers",American Cuisine
5358,"Breakfast & Brunch, Coffee & Tea, Restaurants, Sandwiches, Food",American Cuisine
5359,"Italian, Pizza, Food, Restaurants, Beer, Wine & Spirits",European Cuisine
5360,"Mexican, Food Stands, Restaurants, Tacos",South American Cuisine
5361,"Restaurants, Food, Coffee & Tea, Burgers, Fast Food",American Cuisine
5362,"Salad, Soup, Restaurants, Sandwiches",Unknown
5363,"Arabic, Restaurants, Mediterranean, Middle Eastern",Middle Eastern / African Cuisine
5364,"Italian, Restaurants, Sandwiches, Breakfast & Brunch",European Cuisine
5365,"Restaurants, Chinese, Cantonese, Szechuan",Asian Cuisine
5366,"Italian, Gluten-Free, Restaurants, Pizza",European Cuisine
5367,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",South American Cuisine
5368,"Breakfast & Brunch, Burgers, Food, Desserts, Restaurants, Coffee & Tea, Cafes, Pizza, Ice Cream & Frozen Yogurt",European Cuisine
5369,"Pan Asian, Japanese, Buffets, Restaurants, American (Traditional), Chinese, Seafood",Asian Cuisine
5370,"Restaurants, Cheesesteaks, Sandwiches, Burgers",American Cuisine
5371,"Bubble Tea, Seafood, Restaurants, Asian Fusion, Food",Asian Cuisine
5372,"Filipino, Food, Restaurants, Grocery, International Grocery",Asian Cuisine
5373,"Latin American, Restaurants, Cuban, Local Flavor",South American Cuisine
5374,"Halal, Restaurants, Mexican, Steakhouses",South American Cuisine
5375,"Mediterranean, Fast Food, Restaurants, Greek",European Cuisine
5376,"Burgers, Restaurants, American (Traditional), Food, Breakfast & Brunch, Bakeries, American (New)",American Cuisine
5377,"Sandwiches, Restaurants, Bagels, Coffee Roasteries, Coffee & Tea, Food",Unknown
5378,"Restaurants, Vegetarian, Salad, Wraps",Unknown
5379,"Cheesesteaks, Restaurants, Pizza, American (Traditional)",European Cuisine
5380,"Spanish, Restaurants, Latin American, Puerto Rican, Caribbean, Cuban",South American Cuisine
5381,"Pizza, Restaurants, Sandwiches, Cheesesteaks",European Cuisine
5382,"Street Vendors, Food Trucks, Mexican, Restaurants, Food Stands, Food",South American Cuisine
5383,"New Mexican Cuisine, Mexican, Tex-Mex, Tacos, Restaurants",South American Cuisine
5384,"Desserts, Restaurants, Food, Bakeries",Unknown
5385,"Food, Restaurants, American (Traditional)",American Cuisine
5386,"Delis, International Grocery, Restaurants, Food, Grocery",Unknown
5387,"Restaurants, American (New), Sandwiches, Cheesesteaks, Steakhouses",American Cuisine
5388,"Breakfast & Brunch, Sandwiches, Restaurants",American Cuisine
5389,"Coffee & Tea, Cafes, Food, Restaurants, Sandwiches, Bagels",Unknown
5390,"Breweries, American (New), Restaurants, Burgers, American (Traditional), Gastropubs, Brewpubs, Food, Fish & Chips",American Cuisine
5391,"Mexican, Restaurants, Food, Tex-Mex",South American Cuisine
5392,"Caribbean, Southern, Restaurants",South American Cuisine
5393,"Restaurants, Chinese, Cafes",Asian Cuisine
5394,"Restaurants, Cuban, Soul Food",South American Cuisine
5395,"Restaurants, Coffee Roasteries, Coffee & Tea, Food, Breakfast & Brunch, Sandwiches, Bagels",American Cuisine
5396,"American (Traditional), Restaurants, Soul Food",American Cuisine
5397,"Mediterranean, Pizza, Restaurants, Modern European",European Cuisine
5398,"Soup, Restaurants, Vegetarian, Mexican",South American Cuisine
5399,"American (Traditional), Restaurants, Seafood, Gluten-Free",American Cuisine
5400,"Food, Sandwiches, Soup, Breakfast & Brunch, Restaurants, Bagels, Salad",American Cuisine
5401,"Restaurants, Tacos, Latin American, Mexican, Salad, American (New)",South American Cuisine
5402,"Sandwiches, Restaurants, Bagels, Food, Donuts, Coffee & Tea",American Cuisine
5403,"Pakistani, Pizza, Restaurants, Indian",Asian Cuisine
5404,"Desserts, Restaurants, Ice Cream & Frozen Yogurt, Food",American Cuisine
5405,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",American Cuisine
5406,"Restaurants, Beer, Wine & Spirits, Food, Indian",Asian Cuisine
5407,"Italian, Specialty Food, Restaurants, Pasta Shops, Food",European Cuisine
5408,"Sandwiches, American (Traditional), Fast Food, Restaurants",American Cuisine
5409,"Fast Food, American (Traditional), Burgers, Hot Dogs, Restaurants",American Cuisine
5410,"Salad, Fast Food, Restaurants, Pizza",European Cuisine
5411,"Fast Food, Chicken Wings, American (Traditional), Seafood, Restaurants",American Cuisine
5412,"Coffee & Tea, Restaurants, American (New), Food, Cafes, Breakfast & Brunch",American Cuisine
5413,"Restaurants, Indian, Buffets, Vegetarian, Seafood",Asian Cuisine
5414,"Coffee & Tea, Restaurants, Food, Coffee Roasteries, Sandwiches",Unknown
5415,"Fast Food, Tex-Mex, Restaurants, Tacos, Mexican, Breakfast & Brunch",South American Cuisine
5416,"Restaurants, Poutineries, Fast Food, Fish & Chips, Mexican",South American Cuisine
5417,"Cafes, Bakeries, Restaurants, Food",Unknown
5418,"Grocery, Food, Delis, Restaurants",Unknown
5419,"Fast Food, Chicken Wings, Southern, Restaurants, American (Traditional), Chicken Shop",American Cuisine
5420,"Active Life, Gun/Rifle Ranges, Restaurants",Unknown
5421,"Italian, Cuban, Restaurants",South American Cuisine
5422,"American (Traditional), Food, Restaurants, Seafood",American Cuisine
5423,"Thai, French, Restaurants",Asian Cuisine
5424,"Delis, Italian, Sandwiches, Cafes, Restaurants",European Cuisine
5425,"Restaurants, Salad, Vegetarian",Unknown
5426,"Breakfast & Brunch, American (New), Food, American (Traditional), Restaurants, Ice Cream & Frozen Yogurt, Burgers",American Cuisine
5427,"Middle Eastern, Food, Grocery, Halal, International Grocery, Meat Shops, Arabic, Restaurants, Specialty Food",Middle Eastern / African Cuisine
5428,"Southern, American (Traditional), American (New), Restaurants, Comfort Food",American Cuisine
5429,"Food, Coffee & Tea, Cafes, Sandwiches, Restaurants",Unknown
5430,"Salad, Sandwiches, Restaurants, Soup",Unknown
5431,"American (New), Restaurants, Bakeries, Food, Sandwiches, Soup, Salad, Bagels, Breakfast & Brunch",American Cuisine
5432,"Breakfast & Brunch, Sandwiches, Bagels, Food, Restaurants",American Cuisine
5433,"Italian, Restaurants, Latin American",South American Cuisine
5434,"Restaurants, Pretzels, Food, Fast Food, Desserts",European Cuisine
5435,"Ice Cream & Frozen Yogurt, Burgers, Restaurants, Fast Food, Food",American Cuisine
5436,"Latin American, Honduran, Restaurants",South American Cuisine
5437,"Fish & Chips, Burgers, Seafood, Restaurants",American Cuisine
5438,"Coffee & Tea, Nightlife, Restaurants, Pool Halls, Food",Unknown
5439,"Restaurants, American (Traditional), Buffets",American Cuisine
5440,"Cantonese, Restaurants, Chinese, Szechuan",Asian Cuisine
5441,"Fast Food, Restaurants, Chicken Wings, Chicken Shop",American Cuisine
5442,"Food, Ethnic Food, Restaurants, Grocery, Mexican, International Grocery, Specialty Food",South American Cuisine
5443,"Restaurants, Chicken Wings, Pizza, Sandwiches, American (New)",European Cuisine
5444,"Food, Restaurants, Fast Food, Burgers",American Cuisine
5445,"Restaurants, Food Trucks, Burgers, Donuts, Food",American Cuisine
5446,"Chinese, Restaurants, American (Traditional), Fast Food",Asian Cuisine
5447,"Delis, Restaurants, Italian, Local Flavor, Sandwiches",European Cuisine
5448,"Vietnamese, Restaurants, Delis, Sandwiches",Asian Cuisine
5449,"Soup, Delis, Restaurants, Sandwiches",Unknown
5450,"Food Stands, Restaurants, Chinese, American (Traditional)",Asian Cuisine
5451,"Italian, Food, Restaurants",European Cuisine
5452,"Restaurants, Pizza, Salad, Italian",European Cuisine
5453,"Food, Restaurants, Breakfast & Brunch, Fast Food, Tex-Mex, Mexican, Tacos",South American Cuisine
5454,"Breakfast & Brunch, Food, Coffee & Tea, Cajun/Creole, Sandwiches, Restaurants",American Cuisine
5455,"Restaurants, Seafood, Asian Fusion, Chinese",Asian Cuisine
5456,"Restaurants, Greek, Fast Food",European Cuisine
5457,"Delis, Bakeries, Food, Grocery, Restaurants",Unknown
5458,"Delis, Food, Food Stands, Ice Cream & Frozen Yogurt, Restaurants",American Cuisine
5459,"Caribbean, Restaurants, Seafood, Cajun/Creole",South American Cuisine
5460,"Restaurants, Food, Pizza, Sandwiches, Chicken Wings",European Cuisine
5461,"Vietnamese, Restaurants, Taiwanese, Noodles",Asian Cuisine
5462,"Mexican, Tacos, Restaurants, Tex-Mex, Fast Food, Breakfast & Brunch",South American Cuisine
5463,"Food, Fast Food, Restaurants",American Cuisine
5464,"Restaurants, Specialty Food, Food, Asian Fusion, Ethnic Food",Asian Cuisine
5465,"Thai, Restaurants, Pakistani, Indian",Asian Cuisine
5466,"Chinese, Noodles, Seafood, Chicken Wings, Restaurants",Asian Cuisine
5467,"Cheesesteaks, Restaurants, Pizza, Chicken Wings",European Cuisine
5468,"Mexican, Italian, Food Trucks, Restaurants, Food",South American Cuisine
5469,"Sandwiches, Restaurants, Cheesesteaks",American Cuisine
5470,"Delis, Cheesesteaks, Restaurants, Sandwiches",American Cuisine
5471,"Bakeries, American (New), Tuscan, Food, Italian, Restaurants",European Cuisine
5472,"Restaurants, Breakfast & Brunch, Coffee & Tea, Burgers, Food",American Cuisine
5473,"Restaurants, Pizza, Italian, Salad, Gluten-Free",European Cuisine
5474,"Noodles, Japanese, Diners, Restaurants, Ramen",Asian Cuisine
5475,"Korean, Chinese, Restaurants",Asian Cuisine
5476,"Desserts, Food, Burgers, American (Traditional), Restaurants",American Cuisine
5477,"Chicken Wings, Pizza, Salad, Italian, Restaurants",European Cuisine
5478,"French, American (New), Restaurants",European Cuisine
5479,"Food, Chicken Wings, Restaurants, Salad, Breweries, American (Traditional)",American Cuisine
5480,"Food, Vegetarian, Hawaiian, Poke, Restaurants",Asian Cuisine
5481,"Restaurants, Chinese, Asian Fusion",Asian Cuisine
5482,"Fast Food, Caribbean, Restaurants",South American Cuisine
5483,"Breakfast & Brunch, Fish & Chips, Restaurants, Cafes",American Cuisine
5484,"Food, Hot Dogs, American (Traditional), Ice Cream & Frozen Yogurt, Restaurants",American Cuisine
5485,"Food Stands, Restaurants, Food Trucks, Specialty Food, Food",Unknown
5486,"Sandwiches, Chicken Wings, Restaurants, Pizza, Salad",European Cuisine
5487,"Pizza, Cheesesteaks, Italian, Restaurants",European Cuisine
5488,"Sandwiches, American (New), Restaurants, Salad, Soup, Tacos, Mexican",South American Cuisine
5489,"Food, American (New), Restaurants, Salad, Arabic",Middle Eastern / African Cuisine
5490,"Italian, Pizza, Chicken Wings, Restaurants, Sandwiches",European Cuisine
5491,"Traditional Chinese Medicine, Health & Medical, Asian Fusion, Restaurants, Shanghainese, Thai, Seafood, Dim Sum, Cantonese, Chinese",Asian Cuisine
5492,"Coffee & Tea, Breakfast & Brunch, Food, Bakeries, Restaurants",American Cuisine
5493,"Restaurants, Food, Beer, Wine & Spirits, Breweries, Mexican",South American Cuisine
5494,"Specialty Food, Restaurants, Food, Ethnic Food, Pizza",European Cuisine
5495,"Sandwiches, Southern, Restaurants, Mediterranean, Greek, Kebab",European Cuisine
5496,"Steakhouses, Restaurants, Latin American",South American Cuisine
5497,"Restaurants, Fish & Chips, Southern, Chicken Wings",American Cuisine
5498,"Food, Burgers, Ice Cream & Frozen Yogurt, American (Traditional), Desserts, Restaurants",American Cuisine
5499,"Restaurants, Cafes, Italian",European Cuisine
5500,"American (Traditional), Restaurants, Chinese",Asian Cuisine
5501,"Cajun/Creole, Seafood, Restaurants, Breakfast & Brunch",American Cuisine
5502,"American (New), Restaurants, Mexican",South American Cuisine
5503,"Vietnamese, Chinese, Food, Restaurants",Asian Cuisine
5504,"Filipino, Restaurants, Bubble Tea, Food",Asian Cuisine
5505,"Seafood, Chinese, Nightlife, Restaurants, Karaoke",Asian Cuisine
5506,"Restaurants, Japanese, Seafood",Asian Cuisine
5507,"Shaved Ice, Food Stands, Restaurants, Street Vendors, Food Trucks, Food, Desserts",Unknown
5508,"Vegan, American (New), Restaurants",American Cuisine
5509,"Food, Ice Cream & Frozen Yogurt, Restaurants, Desserts",American Cuisine
5510,"Delis, Food, Coffee & Tea, Restaurants",Unknown
5511,"Restaurants, Donuts, Food, Coffee & Tea, Cafes, Breakfast & Brunch, Diners",American Cuisine
5512,"Restaurants, Breakfast & Brunch, American (Traditional), Diners, Salad",American Cuisine
5513,"Sandwiches, Chicken Shop, Restaurants, Salad, Chicken Wings",Unknown
5514,"Imported Food, Specialty Food, Food, Ethnic Food, Restaurants, Halal, Senegalese, African",Middle Eastern / African Cuisine
5515,"Restaurants, Food, Middle Eastern, Mediterranean, Greek, Coffee & Tea",Middle Eastern / African Cuisine
5516,"Restaurants, Nightlife, American (New)",American Cuisine
5517,"Specialty Food, Seafood Markets, Seafood, Food, Restaurants",Unknown
5518,"Restaurants, Fast Food, Burgers, Breakfast & Brunch, Mexican, Tacos",South American Cuisine
5519,"Restaurants, Greek, Mexican, American (Traditional)",South American Cuisine
5520,"Seafood, Restaurants, Food, Seafood Markets, Farmers Market, Sandwiches, Specialty Food",Unknown
5521,"Restaurants, Pan Asian, Asian Fusion, Korean",Asian Cuisine
5522,"Restaurants, Indian, Buffets, Diners, Pakistani",Asian Cuisine
5523,"Italian, Local Flavor, Restaurants",European Cuisine
5524,"Steakhouses, Restaurants, Seafood, American (Traditional)",American Cuisine
5525,"Seafood, Japanese, Poke, Food, Restaurants, Hawaiian",Asian Cuisine
5526,"Breakfast & Brunch, Restaurants, Soup, Delis",American Cuisine
5527,"Canadian (New), French, Restaurants, Breakfast & Brunch",European Cuisine
